Titulo,Empresa,Link,Página
Estágio em Desenvolvimento de Soluções de IA - Alunos do Inatel de TODOS OS CURSOS E PERÍODOS - Pouso Alegre,Não informado,https://inatel.br/estudante/vagas/estagio-em-desenvolvimento-de-solucoes-de-ia-alunos-do-inatel-de-todos-os-cursos-e-periodos-pouso-alegre,1
Estágio em Desenvolvimento Backend - Bemobi Wave,Não informado,https://inatel.br/estudante/vagas/estagio-em-desenvolvimento-backend-bemobi-wave,1
Estagiário em Desenvolvimento - Eletromidia,Não informado,https://inatel.br/estudante/vagas/estagiario-em-desenvolvimento-eletromidia,1
PROGRAMA DE ESTÁGIO | POUSO ALEGRE-MG | 2026 -  Iveco Group,Não informado,https://inatel.br/estudante/vagas/programa-de-estagio-pouso-alegre-mg-2026-iveco-group,1
"Estágio em Tecnologia - Automação, IA & Desenvolvimento - B4A",Não informado,https://inatel.br/estudante/vagas/estagio-em-tecnologia-automacao-ia-desenvolvimento-b4a,1
Estágio em Engenharias - Feeta,Não informado,https://inatel.br/estudante/vagas/estagio-em-engenharias-feeta,1
Estágio Superior| Redes e Telecomunicações - Aldak Tecnologia,Não informado,https://inatel.br/estudante/vagas/estagio-superior-redes-e-telecomunicacoes-aldak-tecnologia,1
Estágio de suporte em engenharia - Honeywell Technologies,Não informado,https://inatel.br/estudante/vagas/estagio-de-suporte-em-engenharia-honeywell-technologies,1
Engenheiro(a) de Software Júnior (Python,Node.js/IA/automação) - SoftExpert,https://inatel.br/estudante/vagas/engenheiroa-de-software-junior-pythonnodejsiaautomacao-softexpert,1
Estágio em Desenvolvimento de Software - NPDI,FAI,https://inatel.br/estudante/vagas/estagio-em-desenvolvimento-de-software-npdifai,1
Estágio de Desenvolvimento | C# ou Go (Golang) + Angular - Korp ERP,Não informado,https://inatel.br/estudante/vagas/estagio-de-desenvolvimento-c-ou-go-golang-+-angular-korp-erp,1
"Engenheiro(a) de Desenvolvimento de Software Estagiário(a), Aquisição de Talentos Universitários da Amazon",Não informado,https://inatel.br/estudante/vagas/engenheiroa-de-desenvolvimento-de-software-estagiarioa-aquisicao-de-talentos-universitarios-da-amazon,1
Estagiário na área de Engenharia de Telecomunicações - Master Services TN,Não informado,https://inatel.br/estudante/vagas/estagiario-na-area-de-engenharia-de-telecomunicacoes-master-services-tn,2
Estágio em Telecomunicações - Hitachi Energy,Não informado,https://inatel.br/estudante/vagas/estagio-em-telecomunicacoes-hitachi-energy,2
Estagiário de Engenharia de Hardware - DDMX,Não informado,https://inatel.br/estudante/vagas/estagiario-de-engenharia-de-hardware-ddmx,2
Estágio em Desenvolvimento de Software - Thales,Não informado,https://inatel.br/estudante/vagas/estagio-em-desenvolvimento-de-software-thales,2
Estágio em Engenharia,Gestão de Processos - Helibras,https://inatel.br/estudante/vagas/estagio-em-engenharia-gestao-de-processos-helibras,2
Assistente Trainee | Graduation Recruitment Program - Midea,Não informado,https://inatel.br/estudante/vagas/assistente-trainee-graduation-recruitment-program-midea,2
Estágio Automação - ANDRITZ,Não informado,https://inatel.br/estudante/vagas/estagio-automacao-andritz,2
